,title,overview,len,ger
16,Dancer in the Dark,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",419,"Selma, eine tschechische Einwanderin, die kurz vor der Erblindung steht, kämpft darum, für sich und ihren Sohn über die Runden zu kommen, der die gleiche genetische Störung geerbt hat und ohne eine teure Operation das gleiche Schicksal erleiden wird. Wenn das Leben zu schwierig wird, lernt Selma, mit ihrer Liebe zu Musicals zurechtzukommen. Sie entflieht den Problemen des Lebens - wenn auch nur für einen Moment - indem sie sich kleine Nummern zu den rhythmischen Beats ihrer Umgebung ausdenkt."
18,The Fifth Element,"It’s the year 2257 and a taxi driver has been unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity. The Fifth Element takes place in a futuristic metropolitan city and is filmed in a French comic book aesthetic by a British, French and American lineup.",318,"Wir schreiben das Jahr 2257, und ein Taxifahrer wird ungewollt mit der Aufgabe betraut, ein junges Mädchen zu retten, das Teil des Schlüssels ist, der das Überleben der Menschheit sichern wird. Das Fünfte Element spielt in einer futuristischen Großstadt und wurde in französischer Comic-Ästhetik von einer britischen, französischen und amerikanischen Besetzung gedreht."
19,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",227,"In einer futuristischen Stadt, die zwischen der Arbeiterklasse und den Stadtplanern gespalten ist, verliebt sich der Sohn des Vordenkers der Stadt in einen Propheten aus der Arbeiterklasse, der die Ankunft eines Erlösers vorhersagt, der die Differenzen ausgleichen soll."
22,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",292,"Jack Sparrow, ein freilaufender Pirat aus dem 17. Jahrhundert, der die Karibik durchstreift, legt sich mit einem rivalisierenden Piraten an, der das Dorf Port Royal plündern will. Als die Tochter des Gouverneurs entführt wird, beschließt Sparrow, der Liebe des Mädchens zu helfen, sie zu retten. Doch ihre Seemannsmission ist alles andere als einfach."
24,Kill Bill: Vol. 1,"An assassin is shot at the altar by her ruthless employer, Bill, and other members of their assassination circle. But ""The Bride"" lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.",271,"Eine Attentäterin wird von ihrem skrupellosen Auftraggeber Bill und anderen Mitgliedern ihres Attentäterkreises vor dem Altar erschossen. Doch ""Die Braut"" lebt und sinnt auf Rache. Sie macht sich auf den Weg, um Rache zu üben, erstellt eine Todesliste und jagt diejenigen, die ihr Unrecht getan haben, wobei sie Bill bis zuletzt aufspart."
25,Jarhead,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.",394,"Jarhead ist ein Film über die Erfahrungen des US-Marines Anthony Swofford im Golfkrieg. Nach einem anstrengenden Bootcamp werden Swofford und seine Einheit an den Persischen Golf geschickt, wo sie kämpfen sollen, aber gezwungen sind, sich vom Geschehen fernzuhalten. Währenddessen erfährt Swofford, dass seine Freundin ihn betrügt. Verzweifelt will er jemanden töten und endlich seine Ausbildung anwenden."
122906,About Time,"The night after another unsatisfactory New Year party, Tim's father (Bill Nighy) tells his son that the men in his family have always had the ability to travel through time. Tim can't change history, but he can change what happens and has happened in his own life---so he decides to make his world a better place...by getting a girlfriend. Sadly, that turns out not to be as easy as you might think.",399,"In der Nacht nach einer weiteren unbefriedigenden Silvesterparty erzählt Tims Vater (Bill Nighy) seinem Sohn, dass die Männer in seiner Familie schon immer die Fähigkeit hatten, durch die Zeit zu reisen. Tim kann die Geschichte nicht ändern, aber er kann ändern, was in seinem eigenen Leben passiert und passiert ist - also beschließt er, seine Welt zu einem besseren Ort zu machen... indem er sich eine Freundin besorgt. Leider stellt sich heraus, dass das nicht so einfach ist, wie man vielleicht denkt."
28,Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",333,"Auf dem Höhepunkt des Vietnamkriegs wird Captain Benjamin Willard auf eine gefährliche Mission geschickt, die offiziell ""weder existiert noch jemals existieren wird"". Sein Ziel ist es, einen mysteriösen Oberst der Green Berets namens Walter Kurtz ausfindig zu machen - und auszuschalten -, der seine persönliche Armee auf illegalen Guerilla-Missionen in feindliches Gebiet führt."
9562,Timeline,A group of archaeological students become trapped in the past when they go there to retrieve their professor. The group must survive in 14th century France long enough to be rescued.,182,"Eine Gruppe von Archäologiestudenten wird in der Vergangenheit gefangen, als sie ihren Professor zurückholen will. Die Gruppe muss im Frankreich des 14. Jahrhunderts lange genug überleben, um gerettet zu werden."
8224,8MM,"A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, he relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife, family and simple life as a small-town PI.",400,"Eine kleine, scheinbar harmlose Plastikfilmrolle führt den Überwachungsspezialisten Tom Welles auf eine zunehmend dunkle und beängstigende Spur. Mit Hilfe des gerissenen Max folgt er unerbittlich einer bizarren Spur von Beweisen, um das Schicksal eines völlig Fremden zu ermitteln. Während seine Arbeit zur Besessenheit wird, entfernt er sich immer weiter von seiner Frau, seiner Familie und seinem einfachen Leben als Kleinstadtpolizist."
33,Unforgiven,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",301,"William Munny ist ein pensionierter, einst skrupelloser Killer, der zum sanften Witwer und Schweinezüchter wurde. Um seine beiden mutterlosen Kinder zu unterstützen, nimmt er einen letzten Kopfgeldjägerauftrag an, um die Männer zu finden, die eine Prostituierte vergewaltigt haben. Zusammen mit seinem ehemaligen Partner und einem übermütigen Grünschnabel nimmt er es mit einem korrupten Sheriff auf."
35,The Simpsons Movie,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",152,"Nachdem Homer versehentlich die Wasserversorgung der Stadt verschmutzt hat, wird Springfield von der EPA in eine riesige Kuppel eingeschlossen und die Simpsons werden zu Flüchtlingen erklärt."
122917,The Hobbit: The Battle of the Five Armies,"Mere seconds after the events of ""Desolation"", Bilbo and Company continue to claim a mountain of treasure that was guarded long ago: But with Gandalf the Grey also facing some formidable foes of his own, the Hobbit is outmatched when the brutal army of orcs led by Azog the Defiler returns. But with other armies such as the elves and the men of Lake-Town, which are unsure to be trusted, are put to the ultimate test when Smaug's wrath, Azog's sheer strength, and Sauron's force of complete ends attack. All in all, the trusted armies have two choices: unite or die. But even worse, Bilbo gets put on a knife edge and finds himself fighting with Hobbit warfare with all of his might for his dwarf-friends, as the hope for Middle-Earth is all put in Bilbo's hands. The one ""precious"" thing to end it all.",804,"Nur wenige Sekunden nach den Ereignissen von ""Die Verwüstung"" sind Bilbo und seine Gefährten weiterhin auf der Suche nach einem Berg voller Schätze, der vor langer Zeit bewacht wurde: Doch während Gandalf der Graue ebenfalls mit einigen gewaltigen Gegnern konfrontiert wird, ist der Hobbit der brutalen Ork-Armee unter der Führung von Azog dem Schänder unterlegen. Aber auch andere Armeen wie die Elben und die Menschen von Seestadt, denen man nicht so recht trauen kann, werden auf eine harte Probe gestellt, als Smaugs Zorn, Azogs schiere Kraft und Saurons Macht der vollständigen Enden angreifen. Alles in allem haben die vertrauenswürdigen Armeen zwei Möglichkeiten: sich zu vereinen oder zu sterben. Aber noch schlimmer ist, dass Bilbo auf Messers Schneide steht und mit der Hobbit-Kriegsführung mit aller Kraft für seine Zwergenfreunde kämpft, denn die Hoffnung für Mittelerde liegt ganz in Bilbos Händen. Die eine ""kostbare"" Sache, die alles beenden kann."
38,Eternal Sunshine of the Spotless Mind,"A man, Joel Barish, heartbroken that his girlfriend Clementine underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realizes that he still loves her, and may be too late to correct his mistake.",273,"Joel Barish ist untröstlich darüber, dass seine Freundin Clementine sich einem Verfahren unterzogen hat, um ihn aus ihrem Gedächtnis zu löschen, und beschließt, das Gleiche zu tun. Als er jedoch sieht, wie seine Erinnerungen an sie verblassen, wird ihm klar, dass er sie immer noch liebt und es vielleicht zu spät ist, seinen Fehler zu korrigieren."
46429,Gallowwalkers,"When a nun broke her covenant with God to save the life of Aman, her unborn son, he was cursed for life. As an adult, Aman (Snipes) has killed those who have crossed him. But his curse brings his victims back to life, and as the undead, they pursue him endlessly for revenge. Forever suffering this curse, Aman enlists Fabulos (Smith), a young gunman, to fight by his side against his undead victims.",400,"Als eine Nonne ihren Bund mit Gott brach, um das Leben von Aman, ihrem ungeborenen Sohn, zu retten, wurde er auf Lebenszeit verflucht. Als Erwachsener hat Aman (Snipes) alle getötet, die ihm in die Quere gekommen sind. Doch sein Fluch erweckt seine Opfer wieder zum Leben, und als Untote verfolgen sie ihn unaufhörlich, um sich zu rächen. Aman, der ständig unter diesem Fluch leidet, heuert Fabulos (Smith), einen jungen Revolvermann, an, um an seiner Seite gegen seine untoten Opfer zu kämpfen."
98357,Broken City,"In a broken city rife with injustice, ex-cop Billy Taggart (Mark Wahlberg) seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor (Russell Crowe). Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare.",349,"In einer kaputten Stadt voller Ungerechtigkeit sucht der Ex-Cop Billy Taggart (Mark Wahlberg) nach Erlösung und Rache, nachdem er vom mächtigsten Mann der Stadt, dem Bürgermeister (Russell Crowe), betrogen und dann reingelegt wurde. Billys unnachgiebiges Streben nach Gerechtigkeit, das nur noch von seiner knallharten Art übertroffen wird, macht ihn zu einer unaufhaltsamen Kraft - und zum schlimmsten Albtraum des Bürgermeisters."
55,Love's a Bitch,"Three interconnected stories about the different strata of life in Mexico City all resolve with a fatal car accident. Octavio is trying to raise enough money to run away with his sister-in-law, and decides to enter his dog Cofi into the world of dogfighting. After a dogfight goes bad, Octavio flees in his car, running a red light and causing the accident. Daniel and Valeria's new-found bliss is prematurely ended when she loses her leg in the accident. El Chivo is a homeless man who cares for stray dogs and is there to witness the collision. Amores Perros is the first film in Iñárritu's ""Death Trilogy"".",609,"Drei miteinander verbundene Geschichten über die verschiedenen Schichten des Lebens in Mexiko-Stadt, die alle mit einem tödlichen Autounfall enden. Octavio versucht, genug Geld aufzutreiben, um mit seiner Schwägerin durchzubrennen, und beschließt, seinen Hund Cofi in die Welt der Hundekämpfe zu schicken. Als ein Hundekampf schiefgeht, flieht Octavio mit seinem Auto, überfährt eine rote Ampel und verursacht den Unfall. Das neu gefundene Glück von Daniel und Valeria wird vorzeitig beendet, als sie bei dem Unfall ihr Bein verliert. El Chivo ist ein Obdachloser, der sich um streunende Hunde kümmert und Zeuge des Zusammenstoßes wird. Amores Perros ist der erste Film in Iñárritus ""Todes-Trilogie""."
58,Pirates of the Caribbean: Dead Man's Chest,"The high-seas adventures of happy-go-lucky troublemaker Captain Jack Sparrow, young Will Turner and headstrong beauty Elizabeth Swann continues as Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",263,"Die Hochseeabenteuer des unbekümmerten Unruhestifters Captain Jack Sparrow, des jungen Will Turner und der eigenwilligen Schönheit Elizabeth Swann gehen weiter: Sparrow arbeitet sich aus einer Blutschuld bei dem geisterhaften Davey Jones heraus und versucht gleichzeitig, der ewigen Verdammnis zu entgehen."
59,A History of Violence,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,117,"Eine Durchschnittsfamilie gerät ins Rampenlicht, nachdem der Vater in seinem Diner einen scheinbar aus Notwehr begangenen Mord begeht."
62,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",169,"Die Menschheit findet ein geheimnisvolles Objekt, das unter der Mondoberfläche vergraben ist, und macht sich mit Hilfe von HAL 9000, dem fortschrittlichsten Supercomputer der Welt, auf die Suche nach dessen Ursprung."
63,Twelve Monkeys,"In the year 2035, convict James Cole (Bruce Willis) reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly (Madeleine Stowe), and patient Jeffrey Goines (Brad Pitt), the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",635,"Im Jahr 2035 lässt sich der Sträfling James Cole (Bruce Willis) widerwillig in die Vergangenheit schicken, um den Ursprung eines tödlichen Virus zu ergründen, der fast die gesamte Erdbevölkerung ausgelöscht und die Überlebenden in unterirdische Gemeinschaften gezwungen hat. Doch als Cole fälschlicherweise in das Jahr 1990 statt in das Jahr 1996 geschickt wird, wird er verhaftet und in eine psychiatrische Klinik eingewiesen. Dort trifft er auf die Psychiaterin Dr. Kathryn Railly (Madeleine Stowe) und den Patienten Jeffrey Goines (Brad Pitt), den Sohn eines berühmten Virenexperten, der den Schlüssel zu der mysteriösen Gruppe, der Armee der 12 Affen, in der Hand hält, die für die Auslösung der tödlichen Seuche verantwortlich sein soll."
64,Talk to Her,Two men share an odd friendship while they care for two women who are both in deep comas.,89,"Zwei Männer verbindet eine merkwürdige Freundschaft, während sie sich um zwei Frauen kümmern, die beide im tiefen Koma liegen."
65,8 Mile,"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With future and the three one third all he has to do is not choke.",350,"Der Schauplatz ist Detroit im Jahr 1995. Die Stadt ist durch die 8 Mile geteilt, eine Straße, die die Stadt entlang der Rassengrenzen in zwei Hälften teilt. Ein junger weißer Rapper, Jimmy ""B-Rabbit"" Smith Jr., nimmt die Kraft in sich auf, diese willkürlichen Grenzen zu überwinden, um seinen Traum vom Erfolg im Hip-Hop zu verwirklichen. Mit der Zukunft und den drei Ein-Dritteln muss er nur nicht ersticken."
68,Brazil,"Brazil is a Terry Gilliam dystopic black comedy film that reflects the melancholy, dreamlike quality of a famous Brazilian song that’s been translated into English. The film parodies the mostly dysfunctional bureaucratic world we live in and takes us to a post-apocalyptic world in the future yet with our present day attitudes in mind.",336,"Brazil ist eine dystopische schwarze Komödie von Terry Gilliam, die die melancholische, traumhafte Qualität eines berühmten brasilianischen Liedes widerspiegelt, das ins Englische übersetzt wurde. Der Film parodiert die meist dysfunktionale bürokratische Welt, in der wir leben, und entführt uns in eine postapokalyptische Welt in der Zukunft, jedoch mit Blick auf unsere heutige Einstellung."
69,Walk the Line,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",228,"Eine Chronik des Lebens der Country-Musik-Legende Johnny Cash, von seinen Anfängen auf einer Baumwollfarm in Arkansas bis zu seinem Aufstieg bei Sun Records in Memphis, wo er neben Elvis Presley, Jerry Lee Lewis und Carl Perkins Aufnahmen machte."
70,Million Dollar Baby,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",223,"Der Trainer Frankie Dunn ist verzweifelt über die schmerzhafte Entfremdung von seiner Tochter und ist nicht darauf vorbereitet, dass die Boxerin Maggie Fitzgerald in sein Leben tritt. Aber Maggie ist fest entschlossen, Profi zu werden und Dunn und seine Kollegen zu überzeugen, ihr zu helfen."
71,Billy Elliot,"Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!",276,"Vor dem Hintergrund des Bergarbeiterstreiks von 1984 ist Billy Elliot ein 11-jähriger Junge, der aus dem Boxring auf das Ballettparkett stolpert. Er erlebt viele Prüfungen und Triumphe, während er sich bemüht, die festgefahrenen Wege seiner Familie zu überwinden, innere Konflikte zu überwinden und auf Zehenspitzen zu stehen!"
73,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",528,"Derek Vineyard wird auf Bewährung entlassen, nachdem er 3 Jahre im Gefängnis verbracht hat, weil er zwei Schläger getötet hat, die versucht hatten, in seinen Truck einzubrechen und ihn zu stehlen. Durch die Erzählung seines Bruders Danny Vineyard erfahren wir, dass Derek vor seinem Gefängnisaufenthalt ein Skinhead und Anführer einer gewalttätigen weißen Rassistenbande war, die in ganz L.A. rassistisch motivierte Verbrechen beging, und dass seine Taten Danny stark beeinflusst haben. Nach seiner Entlassung aus dem Gefängnis bricht Derek den Kontakt zu der Bande ab und ist entschlossen, Danny davor zu bewahren, denselben gewalttätigen Weg einzuschlagen wie er."
74,War of the Worlds,"The extraordinary battle for the future of humankind through the eyes of one American family fighting to survive it. Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son Robbie and young daughter Rachel for a rare weekend visit, a strange and powerful lightning storm touches down.",362,"Der außergewöhnliche Kampf um die Zukunft der Menschheit aus der Sicht einer amerikanischen Familie, die darum kämpft, ihn zu überleben. Ray Ferrier ist ein geschiedener Hafenarbeiter und ein alles andere als perfekter Vater. Kurz nachdem seine Ex-Frau und ihr neuer Ehemann seinen Teenager-Sohn Robbie und seine kleine Tochter Rachel für einen seltenen Wochenendbesuch abgesetzt haben, zieht ein seltsames und starkes Gewitter auf."
180299,The Raid 2,"After fighting his way through an apartment building populated by an army of dangerous criminals and escaping with his life, SWAT team member Rama goes undercover, joining a powerful Indonesian crime syndicate to protect his family and uncover corrupt members of his own force.",277,"Nachdem er sich durch ein Wohnhaus gekämpft hat, das von einer Armee gefährlicher Krimineller bevölkert ist, und mit dem Leben davongekommen ist, geht SWAT-Teammitglied Rama undercover und schließt sich einem mächtigen indonesischen Verbrechersyndikat an, um seine Familie zu schützen und korrupte Mitglieder seiner eigenen Truppe zu enttarnen."
76,Before Sunrise,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",162,Diese märchenhafte Liebesgeschichte zwischen einem amerikanischen Jungen und einem französischen Mädchen ist ein Dialogmarathon. Während eines gemeinsamen Tages und einer gemeinsamen Nacht in Wien kollidieren ihre beiden Herzen.
77,Memento,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",436,"Leonard Shelby, der nach einer Kopfverletzung sein Kurzzeitgedächtnis verloren hat, begibt sich in diesem düsteren, komplexen Thriller, der mehr Knoten enthält als eine Henkersschlinge, auf die düstere Suche nach dem Mörder seiner Frau. Um seinen Plan auszuführen, macht Shelby Polaroids von Menschen und Orten und notiert kontextbezogene Notizen auf den Rückseiten der Fotos, die ihm bei der Suche helfen und sein Gedächtnis auffrischen sollen. In einem verzweifelten Versuch, sich zu erinnern, tätowiert er sogar seinen eigenen Körper."
78,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to kill a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",227,"Im smogverseuchten dystopischen Los Angeles des Jahres 2019 wird der Blade Runner Rick Deckard aus dem Ruhestand geholt, um ein Quartett von Replikanten zu töten, die auf die Erde geflohen sind und ihren Schöpfer nach einer Möglichkeit suchen, ihre kurze Lebensspanne zu verlängern."
79,Hero,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.,101,"Ein Mann besiegte drei Attentäter, die den mächtigsten Kriegsherrn im vorvereinigten China ermorden wollten."
80,Before Sunset,Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.,211,"Vor neun Jahren trafen sich zwei Fremde zufällig und verbrachten eine Nacht in Wien, die vor Sonnenaufgang endete. Jetzt treffen sie sich zum ersten Mal seither. Jetzt haben sie einen Nachmittag Zeit, um herauszufinden, ob sie zusammengehören."
81,Nausicaä of the Valley of the Wind,"Nausicaä, a gentle young princess, has an empathetic bond with the giant mutated insects that evolved in the wake of the destruction of the ecosystem. Traveling by cumbersome flying ship, on the backs of giant birds, and perched atop her beloved glider, Nausicaä and her allies must negotiate peace between kingdoms battling over the last of the world's precious natural resources.",381,"Nausicaä, eine sanfte junge Prinzessin, hat eine einfühlsame Beziehung zu den riesigen mutierten Insekten, die sich im Zuge der Zerstörung des Ökosystems entwickelt haben. Nausicaä und ihre Verbündeten reisen mit einem schwerfälligen fliegenden Schiff, auf dem Rücken von Riesenvögeln und auf ihrem geliebten Gleiter und müssen den Frieden zwischen den Königreichen aushandeln, die um die letzten wertvollen natürlichen Ressourcen der Welt kämpfen."
